feature,mean_abs_shap
TotalSF,0.07595162782536241
OverallQual,0.046876030314376003
GrLivArea,0.0348883748349565
ExterQual_ord,0.027629474620913495
OverallCond,0.02404200706112628
Neighborhood,0.02263955880342504
LotArea,0.01962583390316438
Fireplaces,0.014844569043513344
BsmtFinSF1,0.014012349589583138
Age,0.013997402059373703
GarageArea,0.013791989238789238
TotalBsmtSF,0.013515803244371688
KitchenQual,0.012192321818910055
Foundation,0.01201780589451727
MSZoning,0.011837285875937444
RemodAge,0.011618622131990032
YearBuilt,0.011526507972954665
FireplaceQu_ord,0.010637875908747351
BsmtExposure,0.010195171658021106
CentralAir,0.009613854323019979
2ndFlrSF,0.00950159776880541
GarageType,0.009490631258961251
FireplaceQu,0.00913285944460497
BathsPerRoom,0.00887488249953363
GarageCond,0.008725782765964404
YearRemodAdd,0.008482647650412534
GarageCars,0.007772469231655815
HalfBath,0.007556159752103906
GarageFinish,0.007109478088308033
BsmtUnfSF,0.007035641845254682
ExterQual,0.006999768886314325
BsmtQual_ord,0.006875059392857213
KitchenQual_ord,0.0068229968180567235
PavedDrive,0.00676653693995456
SaleCondition,0.0066071258733396455
1stFlrSF,0.006438903065703533
Functional,0.006180561011355283
Condition1,0.005536334035711596
HeatingQC,0.0052896452909644495
OpenPorchSF,0.005149347277098814
MasVnrArea,0.004820808613225997
BsmtFinType1,0.004814116261045624
WoodDeckSF,0.004464997849109843
FullBath,0.004140516162057914
GarageYrBlt,0.004094164710884326
LotFrontage,0.0037217978646313875
Exterior1st,0.003282502345962759
MoSold,0.002871540034493813
GarageQual_ord,0.0027710623274432304
ScreenPorch,0.0027641427497904353
TotRmsAbvGrd,0.0024428828426599995
BsmtCond,0.0024063104015055177
YrSold,0.0024005801838964196
LandContour,0.002398730271456314
BsmtFullBath,0.002322536457379038
BldgType,0.0021976805107712287
MasVnrType,0.0020257494273910603
MSSubClass,0.0018331676951144574
BsmtQual,0.0017474623574517021
GrLivArea_to_TotalSF,0.0017277748365424907
Exterior2nd,0.0015514958097092482
LotShape,0.0013737597608870897
LandSlope,0.0013713544064005963
BedroomAbvGr,0.0012931692111775891
Alley,0.0011367385001008813
GarageQual,0.0010622595013736877
Fence,0.0010246993513032474
SaleType,0.001020384410603229
LotConfig,0.0007160953625142389
Electrical,0.0006134555292231218
EnclosedPorch,0.0005552888680373772
GarageCond_ord,0.0005436867248475829
PoolQC,0.0005072312201987887
ExterCond,0.0004961911548098099
RoofStyle,0.00040325830631400794
BsmtFinSF2,0.000399379067066295
ExterCond_ord,0.0003248522269759301
BsmtFinType2,0.0002888828484195799
PoolArea,0.0002848651164412344
HouseStyle,0.00026793603556296086
KitchenAbvGr,0.00024244174710061128
RoofMatl,0.00020557783972869787
MiscVal,0.00015013523231691042
BsmtHalfBath,0.00013341562103681278
Condition2,0.0001327501576792276
Heating,0.00011959632356687475
3SsnPorch,0.00011495808215505405
LowQualFinSF,8.409101185121213e-05
BsmtCond_ord,4.569654592737112e-05
HeatingQC_ord,4.081426999705231e-05
MiscFeature,3.7135149543940405e-05
Street,2.6822228157219163e-05
Utilities,1.3017642187987714e-05
